chunk_id;node_1;node_2;edge
3b1d78faf9064a97b1b667d4aa940745;episode 96;last week's exploration;refers to the content covered in the previous episode
3b1d78faf9064a97b1b667d4aa940745;saxons;charlemagne's invasion in 772;were invaded by Charlemagne in 772
3b1d78faf9064a97b1b667d4aa940745;otto i;death in 973;died in 973
3b1d78faf9064a97b1b667d4aa940745;duchy;well set up;was well established after Otto I's death
3b1d78faf9064a97b1b667d4aa940745;original territory;between the rhine and the elbe river;refers to the initial Saxon lands between the two rivers
3b1d78faf9064a97b1b667d4aa940745;cities;emerged around the seats of bishops or the castles of important noblemen;grew around religious and noble centers
3b1d78faf9064a97b1b667d4aa940745;military system;newly established;was recently implemented
3b1d78faf9064a97b1b667d4aa940745;armoured men on horseback;reliance on them in the military system;played a significant role in the new military structure, bound to their leader by an oath of fealty
3b1d78faf9064a97b1b667d4aa940745;hermann billung and margrave gero;conquered lands of slavic tribes;had conquered territories inhabited by Slavic tribes
3b1d78faf9064a97b1b667d4aa940745;hermann billung and margrave gero;territories up to oder and neisse rivers;expanded their control to the Oder and Neisse Rivers
3b1d78faf9064a97b1b667d4aa940745;mecklenburg-vorpommern, brandenburg, sachsen anhalt and sachsen;lands divided into four marcher counties;were divided into ultimately four marcher counties
3b1d78faf9064a97b1b667d4aa940745;population of these lands;slavic peoples many of whom had at least nominally embraced christianity;consisted mostly of Slavic people, many of whom had some level of Christian belief
912744ec188844d78df3f3a89d7d069c;slavic peoples;christianity;predominantly Slavic peoples had embraced Christianity
912744ec188844d78df3f3a89d7d069c;otto;new bishoprics in brandenburg, havelberg, merseburg, zeitz and meissen and the archbishopric of magdeburg;Otto had founded these new bishoprics
912744ec188844d78df3f3a89d7d069c;new bishoprics in brandenburg, havelberg, merseburg, zeitz and meissen and the archbishopric of magdeburg;embed christianity in the local population and strengthen imperial control over these territories;The purpose of these new bishoprics was to embed Christianity in the local population and strengthen imperial control over these territories.
912744ec188844d78df3f3a89d7d069c;missionaries;convert pagans further east as part of the great imperial mission to spread the gospel around the world.;They (the new bishoprics) also sent out missionaries to convert pagans further east as part of the great imperial mission to spread the gospel around the world.
912744ec188844d78df3f3a89d7d069c;duke of saxony at the time of otto’s death;emperor;The duke of Saxony at the time of Otto’s death was still the emperor.
912744ec188844d78df3f3a89d7d069c;otto;hermann billung;Otto had put his old comrade Hermann Billung in charge of the duchy as his proxy.
