node_1;node_2;chunk_id;count;edge
960;dobrawa, a daughter of duke boleslaus i of bohemia;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;2;contextual proximity
960;margrave gero;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;3;contextual proximity
960;mieszko;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;8;contextual proximity
960;otto the great;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;2;contextual proximity
960;poland;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;2;contextual proximity
960;saxons;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;2;contextual proximity
960;slavic people living in the marches;8ad949a3488a430cae0864089c8cef99,8ad949a3488a430cae0864089c8cef99;2;contextual proximity
970;boleslaus son, duke boleslaus ii;9e984b449e2c49338bb8f48c0ac557f3,9e984b449e2c49338bb8f48c0ac557f3;2;contextual proximity
970;early polish rulers;9e984b449e2c49338bb8f48c0ac557f3,9e984b449e2c49338bb8f48c0ac557f3;2;contextual proximity
970;neighbors;9e984b449e2c49338bb8f48c0ac557f3,9e984b449e2c49338bb8f48c0ac557f3;2;contextual proximity
970;poland;9e984b449e2c49338bb8f48c0ac557f3,9e984b449e2c49338bb8f48c0ac557f3;2;contextual proximity
970;traces of smaller fortifications;9e984b449e2c49338bb8f48c0ac557f3,9e984b449e2c49338bb8f48c0ac557f3;2;contextual proximity
970;widukind;9e984b449e2c49338bb8f48c0ac557f3,9e984b449e2c49338bb8f48c0ac557f3;2;contextual proximity
aachen;friesland;b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11;2;contextual proximity
aachen;new city;b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11;2;contextual proximity
aachen;raids;b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11;5;contextual proximity
aachen;rhine delta;b07e4d6a2da24b06a9f336e7ab908c11,b07e4d6a2da24b06a9f336e7ab908c11;2;contextual proximity
abbey founded by monks from corbie;ansgar;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;4;contextual proximity
abbey founded by monks from corbie;benedictine monastery in corbie;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;2;contextual proximity
abbey founded by monks from corbie;first more intense encounter;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;2;contextual proximity
abbey founded by monks from corbie;frankish nobleman from near amiens;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;2;contextual proximity
abbey founded by monks from corbie;man called ansgar;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;2;contextual proximity
access to justice;hermann billung;e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09;4;contextual proximity
access to justice;oath of fealty;e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09;4;contextual proximity
access to justice;vassals;e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09;2;contextual proximity
access to markets;vikings;1abda0d3e8ce4dc9aecebf4fe01d035f,1abda0d3e8ce4dc9aecebf4fe01d035f;2;contextual proximity
acting on otto i's behalf;hermann billung;e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09;4;contextual proximity
acting on otto i's behalf;oath of fealty;e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09;4;contextual proximity
acting on otto i's behalf;vassals;e0172dee801847089db453675b557c09,e0172dee801847089db453675b557c09;2;contextual proximity
addition to the empire;marches;af7d72030df643758befecb4e33044b9,af7d72030df643758befecb4e33044b9;2;contextual proximity
addition to the empire;saxon castles and their garrisons;af7d72030df643758befecb4e33044b9,af7d72030df643758befecb4e33044b9;2;contextual proximity
ansgar;abbey founded by monks from corbie;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;4;contextual proximity
ansgar;archbishopric of hamburg;4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7;18;contextual proximity
ansgar;archdiocese;4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7,4ba7283abe114014b8fc4fe118cad9e7;6;contextual proximity
ansgar;began preaching on the jutland peninsula;2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee,2e207ece581a42c38e1e90c044428cee;4;contextual proximity
